year,ppm,temperature,coal,oil,gas,cement,flaring,other,fossil_total,landuse_sink,landuse_emission,landuse_balance,bio_sink,ocean_sink,atmosphere_growth,res_gas_min,res_gas_max,res_gas_avrg,res_coal_min,res_coal_max,res_coal_avrg,res_oil_min,res_oil_max,res_oil_avrg,res_fossil_min,res_fossil_max,res_fossil_avrg,res_soil_min,res_soil_max,res_soil_avrg,res_veg_min,res_veg_max,res_ver_avrg,res_bio_min,res_bio_max,res_bio_avrg,res_ocean,res_atmosphere,res_permafrost
2080,498.42,2.00,6.83,5.66,3.75,0.76,0.16,0.18,17.35,3.76,4.44,0.68,5.31,4.78,8.69,185.70,937.70,561.70,67.28,162.28,114.78,-147.44,-56.44,-101.94,105.53,1043.53,574.53,1733.36,2633.36,2183.36,515.82,715.82,615.82,2249.18,3349.18,2799.18,40719.85,1073.57,1640.00
2079,496.83,1.98,6.78,5.63,3.72,0.76,0.16,0.18,17.22,3.74,4.43,0.68,5.27,4.75,8.63,189.44,941.44,565.44,74.11,169.11,121.61,-141.78,-50.78,-96.28,121.78,1059.78,590.78,1729.22,2629.22,2179.22,514.65,714.65,614.65,2243.87,3343.87,2793.87,40715.07,1064.88,1641.00
2078,495.25,1.96,6.73,5.59,3.69,0.75,0.16,0.17,17.10,3.73,4.42,0.69,5.24,4.72,8.57,193.16,945.16,569.16,80.89,175.89,128.39,-136.15,-45.15,-90.65,137.91,1075.91,606.91,1725.10,2625.10,2175.10,513.49,713.49,613.49,2238.60,3338.60,2788.60,40710.32,1056.25,1642.00
2077,493.66,1.95,6.69,5.56,3.66,0.74,0.16,0.17,16.98,3.71,4.41,0.70,5.21,4.68,8.51,196.85,948.85,572.85,87.63,182.63,135.13,-130.56,-39.56,-85.06,153.92,1091.92,622.92,1721.02,2621.02,2171.02,512.34,712.34,612.34,2233.36,3333.36,2783.36,40705.61,1047.68,1643.00
2076,492.07,1.93,6.64,5.52,3.63,0.74,0.16,0.17,16.85,3.69,4.40,0.70,5.17,4.65,8.46,200.51,952.51,576.51,94.32,189.32,141.82,-125.00,-34.00,-79.50,169.82,1107.82,638.82,1716.96,2616.96,2166.96,511.19,711.19,611.19,2228.15,3328.15,2778.15,40700.92,1039.16,1644.00
2075,490.48,1.91,6.59,5.48,3.60,0.73,0.16,0.17,16.73,3.68,4.39,0.71,5.14,4.62,8.40,204.14,956.14,580.14,100.95,195.95,148.45,-119.48,-28.48,-73.98,185.61,1123.61,654.61,1712.92,2612.92,2162.92,510.06,710.06,610.06,2222.98,3322.98,2772.98,40696.27,1030.71,1645.00
2074,488.89,1.89,6.54,5.45,3.57,0.72,0.16,0.17,16.61,3.66,4.38,0.72,5.10,4.59,8.34,207.74,959.74,583.74,107.54,202.54,155.04,-114.00,-23.00,-68.50,201.28,1139.28,670.28,1708.92,2608.92,2158.92,508.93,708.93,608.93,2217.84,3317.84,2767.84,40691.65,1022.31,1646.00
2073,487.30,1.87,6.49,5.41,3.54,0.72,0.16,0.17,16.48,3.64,4.37,0.72,5.07,4.55,8.28,211.31,963.31,587.31,114.08,209.08,161.58,-108.55,-17.55,-63.05,216.84,1154.84,685.84,1704.94,2604.94,2154.94,507.80,707.80,607.80,2212.74,3312.74,2762.74,40687.07,1013.97,1647.00
2072,485.71,1.85,6.44,5.38,3.51,0.71,0.15,0.17,16.36,3.63,4.36,0.73,5.03,4.52,8.22,214.85,966.85,590.85,120.58,215.58,168.08,-103.14,-12.14,-57.64,232.28,1170.28,701.28,1700.99,2600.99,2150.99,506.69,706.69,606.69,2207.68,3307.68,2757.68,40682.51,1005.69,1648.00
2071,484.12,1.83,6.40,5.34,3.48,0.71,0.15,0.16,16.24,3.61,4.35,0.74,5.00,4.49,8.16,218.36,970.36,594.36,127.02,222.02,174.52,-97.77,-6.77,-52.27,247.61,1185.61,716.61,1697.07,2597.07,2147.07,505.58,705.58,605.58,2202.65,3302.65,2752.65,40677.99,997.47,1649.00
